Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
2017-12-17 16:28:24,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2017-12-16 07:24:10,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-15 07:24:31,Cash,Other,Unknown,Nosebud,10.0,Expense,INR
2017-12-15 07:24:31,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
2017-12-14 20:17:25,Saving Bank account 1,Petty cash,Unknown,From Family,3000.0,Income,INR
2017-12-14 20:17:25,Cash,Food,Grocery,Paneer + 1 kg onion,145.0,Expense,INR
2017-12-13 22:00:09,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR
2017-12-13 17:42:27,Cash,Family,Pocket money,No Description,20.0,Expense,INR
2017-12-13 07:31:27,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
,Cash,Food,Eggs,6 eggs,40.0,Expense,INR
,Credit Card,Food,snacks,Double chicken shwarma,100.0,Expense,INR
,Cash,Food,Lunch,Catering Service,80.0,Expense,INR
,Saving Bank account 1,Equity Mutual Fund F,Unknown,No Description,1000.0,Transfer-Out,INR
,Cash,Food,vegetables,No Description,90.0,Expense,INR
,Cash,Food,fruits,No Description,310.0,Expense,INR
,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Catering Service,65.0,Expense,INR
,Cash,Food,Lunch,Catering Service,85.0,Expense,INR
,Saving Bank account 1,Food,Dinner,Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150,408.0,Expense,INR
,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Catering Service,125.0,Expense,INR
,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,100.0,Expense,INR
,Saving Bank account 1,subscription,Edtech Course,No Description,2700.0,Expense,INR
,Credit Card,Household,Kirana,Smart point,937.0,Expense,INR
,Credit Card,Household,Kirana,Supermart,990.0,Expense,INR
,Saving Bank account 1,Food,fruits,No Description,120.0,Expense,INR
,Recurring Deposit,Maturity amount,Unknown,Premature closure of RD3 & RD4,14086.0,Income,INR
,Saving Bank account 1,Food,Bread,No Description,35.0,Expense,INR
,Cash,Food,snacks,Amul butter,50.0,Expense,INR
,Saving Bank account 1,subscription,Newspaper,No Description,110.0,Expense,INR
,Cash,Food,snacks,Shev Puri,30.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100,290.0,Expense,INR
,Cash,Other,Unknown,2 kg soil,20.0,Expense,INR
,Cash,Beauty,grooming,hair cut+shaving,160.0,Expense,INR
,Saving Bank account 1,Food,Ice cream,chocobar,35.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Catering Service ( 5 methi paranthe),125.0,Expense,INR
,Share Market Trading,Saving Bank account 1,Unknown,Fund Withdrawal,100000.0,Transfer-Out,INR
,Saving Bank account 1,Public Provident Fund,Unknown,No Description,40000.0,Transfer-Out,INR
,Saving Bank account 1,Recurring Deposit,Unknown,No Description,1000.0,Transfer-Out,INR
2017-11-30 20:20:53,Saving Bank account 1,Health,Medicine,5 Meftal spas,22.0,Expense,INR
2017-11-30 20:20:53,Saving Bank account 1,Health,Health,Glasses remaining,800.0,Expense,INR
2017-11-30 20:20:53,Credit Card,Health,Health,Family's Glasses,22700.0,Expense,INR
2017-11-30 16:56:20,Saving Bank account 1,Money transfer,Home,No Description,10000.0,Expense,INR
2017-11-30 16:17:01,Saving Bank account 1,Saving Bank account 2,Unknown,No Description,77.33,Transfer-Out,INR
2017-11-30 08:55:08,Cash,Family,Pocket money,Change,50.0,Expense,INR
2017-11-30 08:15:06,Saving Bank account 1,Salary,Unknown,From workplace ,64636.0,Income,INR
2017-11-28 17:35:35,Saving Bank account 1,Food,Bread,Sweet bread cake pav kg,90.0,Expense,INR
2017-11-28 17:35:35,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2017-11-28 17:35:35,Saving Bank account 1,Food,Bread,No Description,18.0,Expense,INR
2017-11-28 17:35:35,Credit Card,Household,Kirana,Toast+ biscuits,115.0,Expense,INR
2017-11-28 17:35:35,Saving Bank account 1,Food,vegetables,No Description,140.0,Expense,INR
2017-11-28 08:30:27,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-27 21:05:52,Saving Bank account 1,Health,Health,Glasses advance,1000.0,Expense,INR
2017-11-27 21:05:37,Saving Bank account 1,Gpay Reward,Unknown,No Description,7.0,Income,INR
2017-11-27 16:07:30,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2017-11-27 13:39:29,Cash,Transportation,auto,Place 6 station to  mall,30.0,Expense,INR
2017-11-27 13:38:55,Cash,Transportation,Train,1 Place 0 to Place 6,5.0,Expense,INR
2017-11-27 13:38:20,Credit Card,Apparel,Footwear,Sandals Hush puppies,2699.0,Expense,INR
2017-11-26 22:26:15,Saving Bank account 1,Gpay Reward,Unknown,No Description,8.0,Income,INR
2017-11-26 20:30:45,Cash,Transportation,auto,eye institute to Place 6 station,40.0,Expense,INR
2017-11-26 20:30:12,Credit Card,Health,Medicine,eye drop,159.0,Expense,INR
2017-11-26 17:29:44,Cash,Transportation,auto,Place 6 station to eye institute,40.0,Expense,INR
2017-11-26 17:25:47,Saving Bank account 1,Health,Hospital,"Routine checkup - eye institute, Place 6",400.0,Expense,INR
2017-11-26 16:59:29,Cash,Transportation,Train,1 Place 0 to Place 6 return,10.0,Expense,INR
2017-11-25 10:25:57,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR
2017-11-25 09:29:45,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-25 09:29:08,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,90.0,Expense,INR
2017-11-25 08:35:44,Cash,Food,vegetables,Half kg tomato,10.0,Expense,INR
2017-11-24 12:22:39,Credit Card,Culture,Movie,2 PVR Place 6,314.0,Expense,INR
2017-11-23 12:22:39,Cash,Food,Bread,Flatbread 8 pcs,23.0,Expense,INR
2017-11-23 12:22:39,Cash,Food,Grocery,Dahi + remaining balance,17.0,Expense,INR
2017-11-23 12:22:39,Cash,Food,flour mill,3 kg Bajari,21.0,Expense,INR
2017-11-23 06:16:26,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2017-11-20 18:39:39,Saving Bank account 1,Food,Milk,milk 1lit ,70.0,Expense,INR
2017-11-20 18:39:05,Cash,scrap,Unknown,No Description,200.0,Income,INR
2017-11-19 20:23:22,Saving Bank account 1,Food,snacks,1 Panipuri,20.0,Expense,INR
2017-11-19 20:23:06,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2017-11-19 20:22:43,Cash,Transportation,Train,2 Place 0 to Place 6 return,20.0,Expense,INR
2017-11-19 20:22:19,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2017-11-19 13:58:30,Credit Card,Culture,Movie,2 PVR Place 6,436.0,Expense,INR
2017-11-18 22:20:50,Credit Card,Household,Kirana,Khobra + shengdana+ vim bar,242.0,Expense,INR
2017-11-18 20:32:08,Saving Bank account 1,Food,Eggs,6 eggs,39.0,Expense,INR
2017-11-18 15:03:07,Saving Bank account 1,subscription,Mahanagar Gas,No Description,147.0,Expense,INR
2017-11-18 11:06:13,Saving Bank account 1,Self-development,Unknown,Marathon,950.0,Expense,INR
2017-11-18 08:04:11,Saving Bank account 1,Food,Milk,1.5 lit milk ,104.0,Expense,INR
2017-11-17 22:26:31,Saving Bank account 1,Food,Ice cream,Vanila family pack,105.0,Expense,INR
2017-11-17 22:25:48,Saving Bank account 1,Household,Kirana,Agarbatti 55 + dahi 25,80.0,Expense,INR
2017-11-17 13:37:44,Saving Bank account 1,Food,flour mill,4 kg Gehu,28.0,Expense,INR
2017-11-16 05:55:14,Saving Bank account 1,Food,Milk,1 lit ,70.0,Expense,INR
2017-11-15 20:48:26,Credit Card,Food,Dinner,Home Food Delivery,524.0,Expense,INR
2017-11-15 20:47:14,Saving Bank account 1,Household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,209.0,Expense,INR
2017-11-15 20:46:34,Saving Bank account 1,Education,Stationary,Photo paper print,45.0,Expense,INR
2017-11-15 20:46:03,Saving Bank account 1,Food,Bread,brown bread,25.0,Expense,INR
2017-11-15 20:43:38,Credit Card,Household,Kirana,Amul butter 52 + Good Day biscuits 43,95.0,Expense,INR
2017-11-14 22:09:11,Cash,Food,fruits,No Description,125.0,Expense,INR
2017-11-14 22:08:41,Cash,Family,Pocket money,No Description,770.0,Expense,INR
2017-11-14 20:19:17,Saving Bank account 1,Food,Grocery,vegetables,160.0,Expense,INR
2017-11-13 20:18:43,Saving Bank account 1,Household,Kirana,Pani Puri packet + Bundi + chivda,180.0,Expense,INR
2017-11-13 20:18:06,Saving Bank account 1,Food,Milk,milk 1lit varna,70.0,Expense,INR
2017-11-13 20:17:37,Saving Bank account 1,Food,Grocery,onion 1 kg + half kg potato,50.0,Expense,INR
2017-11-13 20:17:00,Credit Card,Household,Kirana,Maggie + lizol,268.0,Expense,INR
2017-11-13 20:16:48,Saving Bank account 1,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
,Credit Card,Food,Dinner,At restaurant,1525.0,Expense,INR
,Cash,Food,Tea,No Description,12.0,Expense,INR
,Credit Card,Household,Appliances,USB cord,130.0,Expense,INR
,Cash,Household,Appliances,Screwdriver 2,120.0,Expense,INR
,Credit Card,Other,Unknown,Shopping at Alfa,3690.0,Expense,INR
,Cash,Transportation,auto,Place P station to Alfa market,34.0,Expense,INR
,Cash,Transportation,Train,Place 4 station to Place P return,30.0,Expense,INR
,Cash,Transportation,Train,Place 0 to Place P return,40.0,Expense,INR
,Saving Bank account 1,Food,Eggs,6 eggs,39.0,Expense,INR
,Saving Bank account 1,Food,Milk,Half lit  milk,26.0,Expense,INR
,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,72.0,Expense,INR
,Cash,Household,Toiletries,Colgate max fresh small,20.0,Expense,INR
,Credit Card,Household,Kirana,No Description,67.0,Expense,INR
,Saving Bank account 1,Health,Medicine,Acne Star cream,100.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Bhendi bhaji,40.0,Expense,INR
,Saving Bank account 1,Food,Milk,1 lit ,70.0,Expense,INR
,Credit Card,Household,Kirana,No Description,539.0,Expense,INR
,Saving Bank account 1,Food,fruits,1 kg apple,130.0,Expense,INR
,Cash,Food,Eggs,6 eggs,39.0,Expense,INR
,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,200.0,Expense,INR
,Cash,Food,snacks,2 pavwada,20.0,Expense,INR
,Cash,Other,Unknown,Dambar goli 2 packets ( Naphthalene balls),130.0,Expense,INR
,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
,Saving Bank account 1,Salary,Unknown,From workplace ,78298.0,Income,INR
2017-10-29 22:56:05,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-29 22:24:14,Credit Card,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-29 21:54:53,Credit Card,subscription,Hotstar,subscription 1yr,795.49,Expense,INR
2017-10-27 12:55:49,Cash,Transportation,auto,Permanent Residence to bus stand,40.0,Expense,INR
2017-10-26 19:24:35,Cash,Transportation,auto,within city,50.0,Expense,INR
2017-10-26 19:23:26,Cash,Festivals,Diwali,Offering,50.0,Expense,INR
2017-10-26 16:34:04,Cash,Festivals,Diwali,Offering,10.0,Expense,INR
2017-10-26 13:01:57,Cash,Festivals,Diwali,Offering,500.0,Expense,INR
2017-10-25 21:51:03,Saving Bank account 1,Petty cash,Unknown,From Family,3000.0,Income,INR
2017-10-24 18:27:42,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
2017-10-24 10:58:47,Cash,Food,snacks,Dahi,10.0,Expense,INR
2017-10-23 21:28:37,Cash,Household,Toiletries,Shampoo sachets,9.0,Expense,INR
2017-10-23 19:00:08,Cash,Apparel,Footwear,Slippers,220.0,Expense,INR
2017-10-23 18:57:11,Cash,Festivals,Diwali,Aakash kandil,200.0,Expense,INR
2017-10-23 18:54:46,Cash,Household,Toiletries,Dettol liquid handwash refill,99.0,Expense,INR
2017-10-23 11:03:59,Cash,Household,Kitchen,flour mill,27.0,Expense,INR
2017-10-23 09:02:11,Cash,Household,Kirana,No Description,50.0,Expense,INR
2017-10-23 04:23:50,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,INR
2017-10-22 18:35:25,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,50.0,Expense,INR
2017-10-21 21:32:40,Credit Card,Other,Unknown,ipad cover + case,1888.0,Expense,INR
2017-10-21 19:30:30,Cash,Food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,Expense,INR
2017-10-21 13:43:21,Cash,maid,Unknown,No Description,2000.0,Expense,INR
2017-10-20 23:03:35,Saving Bank account 1,Gift,Unknown,farewell contribution,200.0,Expense,INR
2017-10-20 19:54:58,Cash,Festivals,Diwali,Rangoli + stamp,20.0,Expense,INR
2017-10-19 21:44:36,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
2017-10-18 19:24:45,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,Expense,INR
2017-10-18 19:16:25,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,Expense,INR
2017-10-17 13:18:33,Saving Bank account 1,Petty cash,Unknown,From Family,3000.0,Income,INR
2017-10-13 12:33:18,Cash,Family,Pocket money,No Description,70.0,Expense,INR
,Saving Bank account 1,Equity Mutual Fund D,Unknown,Lumpsum,10000.0,Transfer-Out,INR
,Saving Bank account 1,Transportation,train,Place 2 to Place 3 sevagram,658.6,Expense,INR
,Cash,Household,Kitchen,flour mill,14.0,Expense,INR
,Saving Bank account 1,Share Market,Unknown,Stock market,150000.0,Transfer-Out,INR
,Cash,Food,fruits,No Description,230.0,Expense,INR
,Cash,Food,Grocery,vegetables,280.0,Expense,INR
,Saving Bank account 1,subscription,Wifi Internet Service,1 Year Plan (40mbps + UL+ 3 Months Free),5640.0,Expense,INR
,Credit Card,Gift,Unknown,For Friend,6500.0,Expense,INR
,Credit Card,Family,clothes,Fab India,3198.0,Expense,INR
,Saving Bank account 1,Health,Medicine,No Description,468.0,Expense,INR
,Saving Bank account 1,Other,Unknown,account opening fee,200.0,Expense,INR
,Saving Bank account 1,Health,Medicine,Boroline + band aid,50.0,Expense,INR
,Cash,Family,Pocket money,No Description,400.0,Expense,INR
,Credit Card,Household,Kirana,Supermart,3055.0,Expense,INR
,Saving Bank account 1,subscription,Hotstar,3 months subscription Mobile,149.0,Expense,INR
2017-09-30 20:24:16,Saving Bank account 1,Health,Medicine,Candid dusting powder,59.0,Expense,INR
2017-09-30 20:24:02,Saving Bank account 1,Household,Kirana,Supermart,155.0,Expense,INR
2017-09-30 20:23:13,Saving Bank account 1,Food,Grocery,vegetables,135.0,Expense,INR
2017-09-30 20:22:53,Cash,Food,Grocery,vegetables,30.0,Expense,INR
2017-09-30 17:03:55,Cash,Household,Kitchen,Cooktop installation+ base,600.0,Expense,INR
2017-09-30 10:12:34,Saving Bank account 1,Salary,Unknown,From workplace ,61578.0,Income,INR
2017-09-30 07:40:38,Saving Bank account 1,Interest,Unknown,interest paid,778.0,Income,INR
2017-09-29 21:53:47,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,60.0,Expense,INR
2017-09-29 21:53:28,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
2017-09-29 21:53:08,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
2017-09-29 21:52:32,Saving Bank account 1,Health,Medicine,3 tablet Nor tz,21.0,Expense,INR
2017-09-28 18:32:23,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,215.0,Expense,INR
2017-09-28 16:58:46,Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,2388.0,Expense,INR
2017-09-27 20:17:00,Cash,Household,Kirana,No Description,312.0,Expense,INR
2017-09-27 15:55:05,Saving Bank account 1,Gpay Reward,Unknown,No Description,6.0,Income,INR
2017-09-27 15:53:49,Saving Bank account 1,Gift,Unknown,farewell contribution,334.0,Expense,INR
2017-09-25 17:57:52,Saving Bank account 1,Food,fruits,half kg chiku,30.0,Expense,INR
2017-09-25 17:56:56,Saving Bank account 1,Food,fruits,Apple 2 kg (110) + Banana 1kg (80),300.0,Expense,INR
2017-09-24 21:05:55,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
2017-09-24 21:05:24,Cash,Transportation,Train,Place 0 to WS return,10.0,Expense,INR
2017-09-24 15:58:33,Credit Card,Culture,Movie,2,560.0,Expense,INR
2017-09-24 11:36:54,Cash,Food,Sweets,Half kg pedhe,280.0,Expense,INR
2017-09-24 11:36:37,Saving Bank account 1,Beauty,grooming,hair cut,100.0,Expense,INR
2017-09-23 21:04:58,Saving Bank account 1,Food,Dinner,Chicken masala gravy,100.0,Expense,INR
2017-09-21 15:07:52,Cash,Other,Unknown,Umbrella cover repair,10.0,Expense,INR
2017-09-21 15:06:36,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
2017-09-21 12:45:28,Cash,Food,snacks,Vadapav,15.0,Expense,INR
2017-09-21 12:45:22,Cash,Food,Tea,No Description,10.0,Expense,INR
2017-09-21 08:05:45,Cash,Transportation,Train,Place 0 to dadar return,30.0,Expense,INR
2017-09-21 07:52:53,Cash,Family,Pocket money,No Description,70.0,Expense,INR
2017-09-20 19:14:29,Saving Bank account 1,Health,Health,Surgical gloves pair,20.0,Expense,INR
2017-09-20 14:01:38,Saving Bank account 1,Other,Unknown,CSR,100.0,Expense,INR
2017-09-20 14:01:26,Cash,Family,Pocket money,No Description,20.0,Expense,INR
2017-09-18 20:35:36,Saving Bank account 1,Health,Medicine,No Description,55.0,Expense,INR
2017-09-18 10:22:42,Cash,Food,fruits,half kg chiku,60.0,Expense,INR
2017-09-18 10:22:20,Cash,Food,fruits,Nariyal,55.0,Expense,INR
2017-09-17 21:47:23,Saving Bank account 1,Household,Kirana,No Description,114.0,Expense,INR
2017-09-17 12:45:37,Saving Bank account 1,Health,Medicine,No Description,151.0,Expense,INR
2017-09-17 10:50:40,Credit Card,Household,Kirana,Supermart,558.0,Expense,INR
2017-09-17 10:50:23,Saving Bank account 1,Food,Bread,No Description,35.0,Expense,INR
2017-09-17 10:50:09,Saving Bank account 1,Food,Milk,1.5 lit milk ,99.0,Expense,INR
2017-09-15 22:32:40,Cash,Food,Dinner,Sugaran Kitchen,60.0,Expense,INR
2017-09-15 13:32:36,Saving Bank account 1,Food,Lunch,No Description,130.0,Expense,INR
2017-09-15 11:48:48,Cash,Food,fruits,Nariyal,55.0,Expense,INR
2017-09-15 11:48:08,Saving Bank account 1,Health,Medicine,No Description,373.0,Expense,INR
2017-09-15 11:47:49,Saving Bank account 1,Health,Hospital,Doctor Fees,150.0,Expense,INR
2017-09-15 11:46:38,Saving Bank account 1,Transportation,Travels,2 Place 2 to Place 1 - Novelty tour and travels,1400.0,Expense,INR
2017-09-15 09:56:50,Saving Bank account 1,Food,Tea,2 tea parcel,24.0,Expense,INR
2017-09-15 09:56:30,Saving Bank account 1,Food,breakfast,2 plates poha,50.0,Expense,INR
2017-09-15 09:56:20,Saving Bank account 1,Food,Milk,milk 1lit ,66.0,Expense,INR
2017-09-14 06:21:12,Credit Card,Food,Lunch,No Description,282.0,Expense,INR
2017-09-14 06:21:12,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,100.0,Expense,INR
2017-09-13 21:24:47,Saving Bank account 1,Food,Dinner,Sugaran Kitchen,110.0,Expense,INR
,Saving Bank account 1,Gpay Reward,Unknown,No Description,5.0,Income,INR
,Saving Bank account 1,Food,Milk,milk 1lit ,66.0,Expense,INR
,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,60.0,Expense,INR
,Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,2598.0,Expense,INR
,Saving Bank account 1,Family,Pocket money,No Description,2500.0,Expense,INR
,Saving Bank account 1,Food,Grocery,vegetables,285.0,Expense,INR
,Cash,Transportation,train,Local pass to Family,100.0,Expense,INR
,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
,Saving Bank account 1,Food,snacks,Idli 4 pcs + kachori 4 pcs,93.0,Expense,INR
,Saving Bank account 1,Household,Kirana,Supermart,514.0,Expense,INR
,Cash,Health,Medicine,V-wash,45.0,Expense,INR
,Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,1440.0,Expense,INR
,Cash,Food,flour mill,M D sure 4kg atta,196.0,Expense,INR
,Cash,Other,Unknown,Pant chain repair,20.0,Expense,INR
,Saving Bank account 1,Food,snacks,Sweet bread cake 90 + veg puff 2,140.0,Expense,INR
,Cash,Education,Stationary,Print outs+ Xerox,50.0,Expense,INR
,Saving Bank account 1,Food,Ice cream,4 cups (2 Vanilla 2 tutifruity),40.0,Expense,INR
,Saving Bank account 1,Other,Unknown,clock cell,15.0,Expense,INR
,Saving Bank account 1,subscription,Newspaper,No Description,170.0,Expense,INR
,Cash,maid,Unknown,No Description,820.0,Expense,INR
2017-08-31 16:31:29,Saving Bank account 2,Other,Unknown,Sms charges + GST,17.7,Expense,INR
2017-08-31 10:23:19,Cash,Household,Toiletries,Odonil,60.0,Expense,INR
2017-08-31 10:22:22,Cash,Household,Kirana,Honey small bottle,10.0,Expense,INR
2017-08-31 10:22:07,Cash,Household,Kirana,Janeyu,5.0,Expense,INR
2017-08-31 10:21:37,Cash,Household,Kirana,Nariyal,25.0,Expense,INR
2017-08-31 06:56:51,Saving Bank account 1,Gpay Reward,Unknown,No Description,5.0,Income,INR
2017-08-31 06:56:39,Saving Bank account 1,Gpay Reward,Unknown,No Description,14.0,Income,INR
2017-08-31 06:56:17,Saving Bank account 1,Food,Milk,1.5 lit milk ,99.0,Expense,INR
2017-08-30 21:59:50,Saving Bank account 1,Health,Medicine,5 Meftal spas,22.0,Expense,INR
2017-08-30 18:55:32,Saving Bank account 1,Salary,Unknown,From workplace ,61578.0,Income,INR
2017-08-29 12:03:54,Cash,Transportation,Taxi,Ola cab - Domestic airport T1 to Current Residence,640.0,Expense,INR
2017-08-28 12:06:47,Cash,Tourism,Trip,Misc expense,200.0,Expense,INR
2017-08-28 12:06:47,Cash,Food,snacks,2 chips packets,20.0,Expense,INR
2017-08-27 04:44:32,Cash,Tourism,Trip,Misc expense,100.0,Expense,INR
2017-08-27 04:44:32,Cash,Health,Medicine,Vicks inhaler,59.0,Expense,INR
2017-08-27 04:44:32,Cash,Transportation,auto,market to resort,200.0,Expense,INR
2017-08-26 22:17:11,Cash,Food,breakfast,Parle G chota pack,5.0,Expense,INR
2017-08-26 07:46:28,Saving Bank account 1,Maturity amount,Unknown,FD matured,61754.0,Income,INR
2017-08-25 05:51:28,Cash,Health,Medicine,strepsils 13 pills,39.0,Expense,INR
2017-08-24 22:31:56,Cash,Transportation,auto,Auto : Mahal to hotel,40.0,Expense,INR
2017-08-24 22:31:56,Credit Card,Food,Eating out,roof top lounge  (200 french fries + 100 masala tea)+15 GST + 10 Tip,325.0,Expense,INR
2017-08-24 16:09:59,Credit Card,Household,home decor,2 Bedsheets (1500 each),3000.0,Expense,INR
2017-08-24 16:09:05,Credit Card,Apparel,Clothing,Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),5200.0,Expense,INR
2017-08-23 14:08:23,Cash,Food,Lunch,180 Chicken Sandwich + 120 vada pav & Samosa,300.0,Expense,INR
2017-08-23 14:07:44,Cash,Transportation,Taxi,Ola cab - Current Residence to Domestic airport T1,850.0,Expense,INR
2017-08-22 16:11:00,Cash,Family,Pocket money,No Description,5000.0,Expense,INR
2017-08-22 16:11:00,Cash,Household,Kitchen,Mahanagar Gas connection installation,300.0,Expense,INR
2017-08-21 18:02:58,Saving Bank account 1,Household,Appliances,Selfie stick Bluetooth tripod,280.0,Expense,INR
2017-08-21 18:02:12,Saving Bank account 1,Beauty,grooming,Shaving,50.0,Expense,INR
2017-08-21 11:59:10,Saving Bank account 1,Food,Grocery,1.5 kg onions,33.0,Expense,INR
2017-08-21 11:58:05,Saving Bank account 1,Beauty,Accessories,Lens cleaner,80.0,Expense,INR
2017-08-21 11:52:41,Saving Bank account 1,Education,Stationary,15 fevistick + 12 xerox2 & print2,27.0,Expense,INR
2017-08-20 21:01:24,Credit Card,Food,Ice cream,Baskin Robbins,166.0,Expense,INR
2017-08-20 21:00:13,Credit Card,Food,Lunch,280 chicken dum biryani+ 200 paneer tikka laziz + GST,504.0,Expense,INR
2017-08-20 20:59:43,Cash,Transportation,auto,BKC to kurla station,60.0,Expense,INR
2017-08-20 20:58:50,Saving Bank account 1,Transportation,Taxi,Ola cab - siddhivinayak to BKC,361.0,Expense,INR
2017-08-20 20:58:05,Cash,Transportation,Taxi,Dadar West to siddhivinayak,25.0,Expense,INR
2017-08-20 20:57:31,Cash,Transportation,Train,2 Place 0 to dadar return,60.0,Expense,INR
2017-08-20 20:57:08,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2017-08-20 09:37:13,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,48.0,Expense,INR
2017-08-20 00:08:12,Credit Card,Other,Unknown,Mobile cover moto G5 plus,239.0,Expense,INR
2017-08-20 00:07:49,Credit Card,Household,Furniture,Foldable wardrobe,569.0,Expense,INR
2017-08-19 11:50:16,Cash,Household,Appliances,2 locks for bags,60.0,Expense,INR
2017-08-19 11:49:46,Cash,Household,Kirana,Colgate max fresh small,20.0,Expense,INR
2017-08-19 11:49:24,Cash,Household,Kirana,Dettol sanitizer,45.0,Expense,INR
2017-08-19 11:48:49,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,217.0,Expense,INR
2017-08-18 15:33:07,Cash,Family,Pocket money,No Description,100.0,Expense,INR
2017-08-17 23:22:21,Cash,maid,Unknown,No Description,1020.0,Expense,INR
2017-08-17 19:38:57,Cash,Household,Kirana,Sugar 1kg Rs.55 + shengdana Rs.33,88.0,Expense,INR
2017-08-17 19:36:33,Cash,Food,snacks,2 Bhaji pav + 1 vadapav,45.0,Expense,INR
2017-08-15 19:36:01,Credit Card,Household,Appliances,Wifi Router TP link,1400.0,Expense,INR
2017-08-15 12:51:45,Saving Bank account 1,Food,Milk,1.5 lit milk ,99.0,Expense,INR
2017-08-14 20:03:33,Credit Card,Household,Appliances,Steam machine,320.0,Expense,INR
2017-08-14 11:44:04,Credit Card,Household,Kirana,Biscuits+ onions,112.0,Expense,INR
,Cash,Festivals,Navratri,Ganpati+ navratri vargani,800.0,Expense,INR
,Saving Bank account 1,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1665.0,Expense,INR
,Cash,Gift,Unknown,Rakshabandhan ovalini,500.0,Expense,INR
,Cash,Transportation,Bus,2 CD to Place 1: shivshahi,470.0,Expense,INR
,Cash,Transportation,auto,within city,100.0,Expense,INR
,Cash,Transportation,Bus,2 Place 1 to VN,330.0,Expense,INR
,Saving Bank account 1,Household,Kirana,Dahi (42) + Vanilla essance (34),76.0,Expense,INR
,Saving Bank account 1,Gpay Reward,Unknown,No Description,3.0,Income,INR
